species,isscaap,isscaap_num,global_catch,common_name,Genus,Subfamily,Family,Order,Class,SuperClass
Triglidae,Jacks mullets sauries,34,256.15591,NA,NA,NA,NA,NA,NA,NA
Trigloporus lastoviza,Jacks mullets sauries,34,74.78421,NA,NA,NA,NA,NA,NA,NA
Trisopterus esmarkii,Cods hakes haddocks,32,57416.7182,NA,Trisopterus,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Trisopterus luscus,Cods hakes haddocks,32,14682.25463,NA,Trisopterus,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Trisopterus minutus,Cods hakes haddocks,32,1689.68692,NA,Trisopterus,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Turbo,Abalones winkles conchs,52,168.81763,NA,NA,NA,NA,NA,NA,NA
Turbo cornutus,Abalones winkles conchs,52,13630.4993,NA,NA,NA,NA,NA,NA,NA
Tylosurus,Mackerels snoeks cutlassfishes,37,33385.70463,NA,NA,NA,NA,NA,NA,NA
Tylosurus crocodilus crocodilus,Mackerels snoeks cutlassfishes,37,190.46398,NA,NA,NA,NA,NA,NA,NA
Umbrina canariensis,Redfishes basses congers,33,3613.62552,NA,Umbrina,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Umbrina canosai,Redfishes basses congers,33,12587.29969,NA,Umbrina,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Umbrina cirrosa,Redfishes basses congers,33,231.33127,NA,Umbrina,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Upeneus,Redfishes basses congers,33,257742.65285,NA,NA,NA,NA,NA,NA,NA
Upogebia pugettensis,Marine crustaceans nei,47,1.72068,NA,NA,NA,NA,NA,NA,NA
Urophycis brasiliensis,Cods hakes haddocks,32,8205.52023,NA,Urophycis,NA,Phycidae,Gadiformes,Actinopterygii,Osteichthyes
Urophycis chuss,Cods hakes haddocks,32,988.27699,NA,Urophycis,NA,Phycidae,Gadiformes,Actinopterygii,Osteichthyes
Urophycis tenuis,Cods hakes haddocks,32,3645.24871,NA,Urophycis,NA,Phycidae,Gadiformes,Actinopterygii,Osteichthyes
Valamugil seheli,Redfishes basses congers,33,6075.30981,NA,NA,NA,NA,NA,NA,NA
Variola louti,Redfishes basses congers,33,1422.49484,NA,Variola,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Veneridae,Clams cockles arkshells,56,29444.65896,NA,NA,NA,NA,NA,NA,NA
Venus (=Chamelea) gallina,Clams cockles arkshells,56,73984.19491,NA,NA,NA,NA,NA,NA,NA
Venus verrucosa,Clams cockles arkshells,56,1431.73681,NA,NA,NA,NA,NA,NA,NA
Xiphias gladius,Tunas bonitos billfishes,36,114821.4911,NA,Xiphias,NA,Xiphiidae,Perciformes,Actinopterygii,Osteichthyes
Xiphopenaeus kroyeri,Shrimps prawns,45,58075.42024,NA,NA,NA,NA,NA,NA,NA
Zearaja nasuta,Sharks rays skates etc,38,1990.24724,NA,Zearaja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Zeidae,Jacks mullets sauries,34,154.15369,NA,NA,NA,NA,NA,NA,NA
Zenopsis conchifer,Jacks mullets sauries,34,214.11208,NA,Zenopsis,NA,Zeidae,Zeiformes,Actinopterygii,Osteichthyes
Zenopsis nebulosa,Jacks mullets sauries,34,564.44163,NA,Zenopsis,NA,Zeidae,Zeiformes,Actinopterygii,Osteichthyes
Zeus faber,Jacks mullets sauries,34,16853.43751,NA,Zeus,NA,Zeidae,Zeiformes,Actinopterygii,Osteichthyes
Zidona dufresnei,Abalones winkles conchs,52,90.84584,NA,NA,NA,NA,NA,NA,NA
Zoarces viviparus,Misc Finfishes,39,59.47364,NA,Zoarces,Zoarcinae,Zoarcidae,Perciformes,Actinopterygii,Osteichthyes
Zygochlamys patagonica,Scallops pectens,55,73755.75392,NA,NA,NA,NA,NA,NA,NA
